id,organism,control,time,abundance,logscale,treatment,algalHost
Maat4AHL,H,TRUE,0.0644,571430,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,6.083,705090,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,12.0695,856600,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,18.0238,1490300,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,24.0747,2266800,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,30.029,2230800,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,36.0798,3083200,FALSE,P-Replete,Phaeocystis globosa
Maat4AHL,H,TRUE,48.0206,6640700,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,0.0644,535710,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,6.0509,584550,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,12.0051,624460,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,17.9594,927770,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,24.0425,1074800,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,29.9646,1079000,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,35.951,1364500,FALSE,P-Replete,Phaeocystis globosa
Maat4ALL,H,TRUE,48.0528,2337100,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,0,1071400,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,6.0187,1423800,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,12.0695,1579800,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,18.0238,2700100,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,24.0103,3606100,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,30.029,3686200,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,36.0798,3824300,FALSE,P-Replete,Phaeocystis globosa
Maat4AML,H,TRUE,48.0206,7247900,FALSE,P-Replete,Phaeocystis globosa
Maat4DHL,V,FALSE,-0.0145,3772900,FALSE,P-Replete,Phaeocystis globosa
Maat4DHL,V,FALSE,2.983,3617300,FALSE,P-Replete,Phaeocystis globosa
Maat4DHL,V,FALSE,5.9855,5777600,FALSE,P-Replete,Phaeocystis globosa
Maat4DHL,V,FALSE,8.9976,5734000,FALSE,P-Replete,Phaeocystis globosa
Maat4DHL,V,FALSE,11.9952,11107000,FALSE,P-Replete,Phaeocystis globosa
Maat4DHL,V,FALSE,15.0024,25370000,FALSE,P-Replete,Phaeocystis globosa
Maat4DLL,V,FALSE,-0.0242,5267100,FALSE,P-Replete,Phaeocystis globosa
Maat4DLL,V,FALSE,2.983,3617300,FALSE,P-Replete,Phaeocystis globosa
Maat4DLL,V,FALSE,5.9952,5292000,FALSE,P-Replete,Phaeocystis globosa
Maat4DLL,V,FALSE,8.9879,6555900,FALSE,P-Replete,Phaeocystis globosa
Maat4DLL,V,FALSE,11.9952,6624300,FALSE,P-Replete,Phaeocystis globosa
Maat4DLL,V,FALSE,15.0024,12968000,FALSE,P-Replete,Phaeocystis globosa
Maat4DML,V,FALSE,-0.0145,3287300,FALSE,P-Replete,Phaeocystis globosa
Maat4DML,V,FALSE,2.983,3617300,FALSE,P-Replete,Phaeocystis globosa
Maat4DML,V,FALSE,5.9758,4582300,FALSE,P-Replete,Phaeocystis globosa
Maat4DML,V,FALSE,8.9927,5248400,FALSE,P-Replete,Phaeocystis globosa
Maat4DML,V,FALSE,11.9952,27954000,FALSE,P-Replete,Phaeocystis globosa
Maat4DML,V,FALSE,14.9927,69300000,FALSE,P-Replete,Phaeocystis globosa
