id,organism,control,time,abundance,logscale,treatment,algalHost
Maat5DHL,V,FALSE,0,3652700,FALSE,P-Limited,Phaeocystis globosa
Maat5DHL,V,FALSE,3,4192400,FALSE,P-Limited,Phaeocystis globosa
Maat5DHL,V,FALSE,6.0067,5368200,FALSE,P-Limited,Phaeocystis globosa
Maat5DHL,V,FALSE,8.9933,4481500,FALSE,P-Limited,Phaeocystis globosa
Maat5DHL,V,FALSE,12,3835800,FALSE,P-Limited,Phaeocystis globosa
Maat5DHL,V,FALSE,14.98,5676600,FALSE,P-Limited,Phaeocystis globosa
Maat5DHL,V,FALSE,20.9933,13811000,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,0,3652700,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,3.0067,4452600,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,6,4250200,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,8.98,4905600,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,11.9933,4057400,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,14.9734,4847700,FALSE,P-Limited,Phaeocystis globosa
Maat5DLL,V,FALSE,20.9734,11449000,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,0.0066519,4394800,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,3.0067,3884000,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,6,3565900,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,9,5021200,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,11.9933,4616400,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,14.9734,5589800,FALSE,P-Limited,Phaeocystis globosa
Maat5DML,V,FALSE,20.9867,11613000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,0,3652700,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,3,4192400,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,6.0067,5368200,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,8.9933,4481500,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,12,3835800,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,14.98,5676600,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,20.9933,13811000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,24.0078,22415000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,29.975,23843000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,36.0255,32330000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,49.0147,35995000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,71.9956,37539000,FALSE,P-Limited,Phaeocystis globosa
Maat5CHL,V,FALSE,96.0588,43017000,FALSE,P-Limited,Phaeocystis globosa
Maat5CLL,V,FALSE,0,3652700,FALSE,P-Limited,Phaeocystis globosa
Maat5CLL,V,FALSE,3.0067,4452600,FALSE,P-Limited,Phaeocystis globosa
Maat5CLL,V,FALSE,6,4250200,FALSE,P-Limited,Phaeocystis globosa
Maat5CLL,V,FALSE,8.98,4905600,FALSE,P-Limited,Phaeocystis globosa
